Reference,Qty,Value
"C1,C3",2,22u
"C5,C6",2,47u
"C7,C9,C10,C12",4,100n
"J1,J2",2,AudioJack2_SwitchT
J3,1,Conn_02x05_Odd_Even
"R1,R3,R7,R9",4,20k
"R2,R4,R5,R12",4,220R
"R6,R11",2,1M
"RV1,RV2,RV3,RV4,RV5,RV6",6,100k
SW1,1,SW_DPDT_x2
"U1,U3",2,TL072
